gate,result,detail
verify,652 通过 / 0 失败,基线 620
digest-chain,15 通过 / 0 失败,manifest = tar = 镜像
sbom,全部可生成,16 行
mutation,13 抓到 / 0 漏,1 跳过
repro,9 逐位一致,同 builder 连构两次
